"Date","Seasonally.Adjusted.Loans"
"01/2000",496.1
"02/2000",499.7
"03/2000",504.5
"04/2000",505
"05/2000",508.6
"06/2000",516.7
"07/2000",524.8
"08/2000",532.4
"09/2000",534.8
"10/2000",535.1
"11/2000",537.4
"12/2000",539.8
"01/2001",543.2
"02/2001",545.9
"03/2001",546.6
"04/2001",549.7
"05/2001",551.9
"06/2001",552.1
"07/2001",554.6
"08/2001",553.3
"09/2001",553.4
"10/2001",556.7
"11/2001",559.8
"12/2001",556.2
"01/2002",557.8
"02/2002",562.5
"03/2002",563.1
"04/2002",567.7
"05/2002",569
"06/2002",567.5
"07/2002",564.2
"08/2002",572.9
"09/2002",582.5
"10/2002",591.8
"11/2002",586.5
"12/2002",585.9
"01/2003",585
"02/2003",589.3
"03/2003",587.8
"04/2003",588
"05/2003",596.3
"06/2003",599.1
"07/2003",601
"08/2003",600.5
"09/2003",603.3
"10/2003",608
"11/2003",629.3
"12/2003",642.3
"01/2004",649.6
"02/2004",654.2
"03/2004",654.6
"04/2004",656.3
"05/2004",658.7
"06/2004",660.5
"07/2004",690.6
"08/2004",690.7
"09/2004",696.3
"10/2004",701.5
"11/2004",689
"12/2004",696.7
"01/2005",700.8
"02/2005",704.1
"03/2005",707.3
"04/2005",709.5
"05/2005",704.9
"06/2005",705.9
"07/2005",711.1
"08/2005",715.9
"09/2005",721.4
"10/2005",719.4
"11/2005",712.4
"12/2005",707.6
"01/2006",708.4
"02/2006",712.3
"03/2006",721.4
"04/2006",726.5
"05/2006",733.5
"06/2006",727.2
"07/2006",720.7
"08/2006",725.1
"09/2006",727.4
"10/2006",738.2
"11/2006",737.2
"12/2006",743.3
"01/2007",746.9
"02/2007",750.2
"03/2007",747.1
"04/2007",751.8
"05/2007",755.5
"06/2007",764.4
"07/2007",772.2
"08/2007",774
"09/2007",783.1
"10/2007",788.5
"11/2007",795.9
"12/2007",809.2
"01/2008",813.2
"02/2008",814.7
"03/2008",817.9
"04/2008",823.4
"05/2008",827.1
"06/2008",831.7
"07/2008",839.3
"08/2008",845
"09/2008",852
"10/2008",870.7
"11/2008",876.3
