"Group","Rating"
"U",6
"U",5
"U",5
"U",5
"U",4
"U",5
"U",4
"U",6
"U",5
"U",5
"U",5
"U",5
"U",3
"U",3
"U",5
"U",4
"U",5
"U",5
"U",5
"U",4
"U",5
"U",4
"U",4
"U",5
"U",4
"U",4
"U",4
"U",5
"U",5
"U",5
"U",4
"U",5
"U",5
"U",5
"U",4
"U",4
"U",5
"U",5
"U",4
"U",5
"U",5
"U",4
"U",4
"U",5
"U",4
"U",3
"U",4
"U",5
"U",5
"U",5
"U",3
"U",4
"U",4
"U",4
"U",4
"A",4
"A",6
"A",4
"A",6
"A",5
"A",5
"A",5
"A",6
"A",4
"A",5
"A",5
"A",5
"A",4
"A",6
"A",6
"A",5
"A",5
"A",7
"A",4
"A",6
"A",6
"A",4
"A",5
"A",4
"A",5
"A",5
"A",6
"A",4
"A",5
"A",5
"A",4
"A",6
"A",4
"A",6
"A",5
"A",5
"C",5
"C",4
"C",5
"C",6
"C",5
"C",7
"C",5
"C",6
"C",7
"C",5
"C",7
"C",5
"C",4
"C",5
"C",4
"C",4
"C",6
"C",6
"C",5
"C",6
"C",5
"C",5
"C",4
"C",5
"C",5
"C",6
"C",6
"C",6
"C",5
"C",6
"C",6
"C",7
"C",6
"C",6
"C",5
"C",5
