"Year","TFP"
1948,100
1949,94.4
1950,92.6
1951,95.3
1952,97.2
1953,98.3
1954,101.1
1955,101.2
1956,101.5
1957,100.6
1958,105.7
1959,106.9
1960,111.5
1961,114.4
1962,113.8
1963,116.7
1964,117.1
1965,120.7
1966,118.9
1967,122.8
1968,123.5
1969,124.3
1970,123.1
1971,131.8
1972,130.8
1973,134.9
1974,126.5
1975,139.1
1976,137
1977,144.7
1978,138
1979,142.8
1980,138.1
1981,153.9
1982,158.6
1983,139.2
1984,163.3
1985,174.5
1986,172.9
1987,175.9
1988,167.3
1989,181.6
1990,188.2
1991,188.2
1992,202.1
1993,190.3
1994,205
1995,190.4
1996,206
1997,210.8
1998,209.1
1999,211.7
2000,221.6
2001,224.5
2002,220.4
2003,227.4
2004,242.2
2005,240
2006,238.4
