"Date","Domestic.Miles"
"Jan02",32999556
"Feb02",32592088
"Mar02",41428344
"Apr02",38479508
"May02",39911576
"Jun02",42902128
"Jul02",45275032
"Aug02",45420500
"Sep02",34216360
"Oct02",39079324
"Nov02",36351232
"Dec02",41364276
"Jan03",36214952
"Feb03",34152836
"Mar03",41778928
"Apr03",39469216
"May03",41005168
"Jun03",44492496
"Jul03",48321496
"Aug03",46982140
"Sep03",36819748
"Oct03",41479572
"Nov03",39333992
"Dec03",42699584
"Jan04",38114888
"Feb04",38575784
"Mar04",46508568
"Apr04",45795612
"May04",45350160
"Jun04",49773332
"Jul04",52730880
"Aug04",50816780
"Sep04",40645720
"Oct04",45767088
"Nov04",43563704
"Dec04",45182784
"Jan05",41611296
"Feb05",40117080
"Mar05",50792048
"Apr05",47004576
"May05",49018676
"Jun05",52183320
"Jul05",55292288
"Aug05",52512000
"Sep05",43526396
"Oct05",45896584
"Nov05",45111744
"Dec05",46191904
"Jan06",42967976
"Feb06",40929044
"Mar06",50695232
"Apr06",48803168
"May06",49304216
"Jun06",52202076
"Jul06",54509008
"Aug06",52076340
"Sep06",43110376
"Oct06",47138936
"Nov06",45969492
"Dec06",46838184
"Jan07",43826000
"Feb07",41272860
"Mar07",51521568
"Apr07",49775020
"May07",51034044
"Jun07",54020904
"Jul07",56575224
"Aug07",55685388
"Sep07",45242640
"Oct07",49072180
"Nov07",47258908
"Dec07",47072932
"Jan08",44258480
"Feb08",43224336
"Mar08",51745644
"Apr08",48132960
"May08",50198908
"Jun08",52449592
"Jul08",54532892
"Aug08",52554796
"Sep08",41007420
"",NA
