"x1","x2","x3"
3.99,3.9,3.98
4.02,3.95,3.95
3.99,3.9,3.9
3.99,3.94,3.88
3.96,3.93,3.91
3.94,3.97,3.83
3.89,3.95,3.99
3.86,3.97,4.02
3.98,3.98,3.95
3.93,3.88,4.06
3.97,3.91,3.92
3.86,3.95,3.88
3.92,3.97,3.95
4.01,3.91,3.91
4,4.02,3.93
4.01,3.97,3.98
3.92,3.92,3.95
3.96,3.96,3.9
4.04,3.93,3.95
3.96,3.85,4.03
4.06,4.04,3.93
3.94,4.02,3.98
3.95,4.07,3.99
3.9,3.92,3.97
3.97,3.96,3.94
3.96,4,3.91
3.9,3.85,3.91
3.97,3.87,3.94
3.97,3.88,3.83
3.82,3.99,3.84
3.95,3.87,3.94
3.86,3.91,3.98
3.94,3.93,3.9
3.89,3.9,3.81
3.91,3.99,3.83
