"StateTerritory","Number","Assets","Deposits","Ln.Number.","Ln.Assets.","Ln.Deposits."
"Alabama",148,266.2,183,4.997212274,5.584247906,5.209486153
"Alaska",5,31,9.6,1.609437912,3.433987204,2.261763098
"Arizona",55,15.7,12.2,4.007333185,2.753660712,2.501435952
"Arkansas",137,50.2,39.3,4.919980926,3.916015027,3.671224519
"California",288,408.2,267.3,5.66296048,6.01175725,5.588371623
"Colorado",142,49.9,40.8,4.955827058,3.910021003,3.708682081
"Connecticut",25,24.8,17.9,3.218875825,3.210843653,2.884800713
"Delaware",24,437.2,190.7,3.17805383,6.080390756,5.250701513
"District of Columbia",5,1.4,1.3,1.609437912,0.336472237,0.262364264
"Florida",270,116.6,89.2,5.598421959,4.758749274,4.49088104
"Georgia",314,293.4,204.9,5.749392986,5.681536866,5.322522055
"Hawaii",7,30.4,22.7,1.945910149,3.414442608,3.122364924
"Idaho",16,6.4,4.7,2.772588722,1.85629799,1.547562509
"Illinois",570,332.9,265.3,6.345636361,5.807842145,5.580861261
"Indiana",111,58.7,43.9,4.709530201,4.072439727,3.78191432
"Iowa",361,56.2,43.9,5.888877958,4.028916757,3.78191432
"Kansas",331,50.8,40,5.802118375,3.927896355,3.688879454
"Kentucky",179,48.2,37.7,5.187385806,3.875359021,3.629660094
"Louisiana",134,48.9,39,4.8978398,3.889777396,3.663561646
"Maine",8,6.2,4.2,2.079441542,1.824549292,1.435084525
"Maryland",53,28.1,21.5,3.970291914,3.335769576,3.068052935
"Massachusetts",36,190.3,128.7,3.583518938,5.248601774,4.857484115
"Michigan",143,108.1,81.3,4.96284463,4.683056725,4.398146017
"Minnesota",408,72.3,54.8,6.011267174,4.280824129,4.003690194
"Mississippi",90,56.3,41.8,4.49980967,4.030694535,3.73289634
"Missouri",321,116.3,91,5.771441123,4.75617306,4.510859507
"Montana",74,18.7,14.2,4.304065093,2.928523524,2.653241965
"Nebraska",231,40.4,32.4,5.442417711,3.698829785,3.478158423
"Nevada",37,1255.6,767.3,3.610917913,7.135368825,6.642877859
"New Hampshire",9,2.4,1.8,2.197224577,0.875468737,0.587786665
"New Jersey",68,55.8,40.9,4.219507705,4.021773869,3.711130063
"New Mexico",49,17.3,13.8,3.891820298,2.850706502,2.624668592
"New York",129,449.2,329.8,4.859812404,6.107468223,5.79848641
"North Carolina",79,2342.8,1545.4,4.369447852,7.759102074,7.343038055
"North Dakota",94,20.6,12.6,4.543294782,3.025291076,2.533696814
"Ohio",155,2432.9,1525.1,5.043425117,7.79683924,7.329815261
"Oklahoma",248,64.6,48.3,5.513428746,4.168214411,3.877431561
"Oregon",37,34.8,18.3,3.610917913,3.549617387,2.90690106
"Pennsylvania",145,257.1,178.3,4.976733742,5.549465114,5.183467525
"Rhode Island",7,169.8,76.8,1.945910149,5.134621274,4.34120464
"South Carolina",66,48.3,37.5,4.189654742,3.877431561,3.624340933
"South Dakota",83,651.5,408.6,4.418840608,6.479277397,6.012736682
"Tennessee",181,92.9,63.8,5.198497031,4.531523646,4.15575319
"Texas",594,273.5,205.1,6.386879319,5.611301622,5.323497665
"Utah",63,461.3,268.4,4.143134726,6.134048591,5.592478405
"Vermont",9,3.5,2.7,2.197224577,1.252762968,0.993251773
"Virginia",103,391.5,285.4,4.634728988,5.969985515,5.653891705
"Washington",81,55.7,43.1,4.394449155,4.019980147,3.763522997
"West Virginia",61,24.2,18,4.110873864,3.186352633,2.890371758
"Wisconsin",249,136.8,97.3,5.517452896,4.918520005,4.577798989
"Wyoming",36,6.2,5.3,3.583518938,1.824549292,1.667706821
"Puerto Rico",10,99.5,64,2.302585093,4.600157644,4.158883083
