"Year","Attendance"
1916,5743
1917,4678
1918,4558
1919,5978
1920,6244
1921,5396
1922,7135
1923,9139
1924,9191
1925,8086
1926,11347
1927,14861
1928,14854
1929,19041
1930,18527
1931,14109
1932,12658
1933,7520
1934,9189
1935,8995
1936,9083
1937,11475
1938,12359
1939,9083
1940,6946
1941,7080
1942,7577
1943,6777
1944,8207
1945,13637
1946,17441
1947,17266
1948,15869
1949,14846
1950,14948
1951,11616
1952,13309
1953,9918
1954,9717
1955,11374
1956,9001
1957,8598
1958,12726
1959,11146
1960,10250
1961,8629
1962,7528
1963,12093
1964,9280
1965,7727
1966,7851
1967,11634
1968,12725
1969,20427
1970,20534
1971,20407
1972,16872
1973,16896
1974,12536
1975,12776
1976,12669
1977,17776
1978,18601
1979,20353
1980,14898
1981,9752
1982,15423
1983,18268
1984,26346
1985,26686
1986,23239
1987,25439
1988,25476
1989,30765
1990,27701
1991,27883
1992,26256
1993,32363
1994,31275
1995,26643
1996,27396
1997,27041
1998,31990
1999,34739
2000,34438
2001,34314
2002,33248
2003,36576
2004,38660
2005,38272
2006,38558
2007,40154
NA,NA
