"Id","Gender","Salary","JobLevel"
1,"M",34843,7
2,"M",27520,7
3,"F",30779,7
4,"F",33076,7
5,"M",27097,7
6,"M",32858,7
7,"M",27491,7
8,"M",28879,7
9,"M",27340,7
10,"M",26495,7
11,"M",29433,7
12,"M",27763,7
13,"F",33053,7
14,"F",27589,7
15,"F",27221,7
16,"F",32497,7
17,"M",30926,7
18,"F",29645,7
19,"F",29255,7
20,"F",30064,7
21,"F",25282,7
22,"F",31214,7
23,"F",26947,7
24,"M",28680,7
25,"F",33694,7
26,"F",28230,7
27,"F",33771,7
28,"M",30132,7
29,"M",30362,7
30,"F",28669,7
31,"F",30250,7
32,"F",30630,7
33,"M",30883,7
34,"F",26306,7
35,"F",26521,7
36,"M",23148,7
37,"F",23159,7
38,"F",35179,8
39,"M",37787,8
40,"M",36167,8
41,"F",36573,8
42,"M",36345,8
43,"F",32548,8
44,"F",33085,8
45,"F",38507,8
46,"M",38961,8
47,"M",34639,8
48,"M",35684,8
49,"M",36850,8
50,"M",39317,8
51,"M",36360,8
52,"M",32107,8
53,"F",34017,8
54,"F",33026,8
55,"F",37575,8
56,"M",38828,8
57,"M",37501,8
58,"M",33071,8
59,"F",36659,8
60,"M",30328,8
61,"F",37214,8
62,"F",35378,8
63,"F",27832,8
64,"M",31038,8
65,"F",33360,8
66,"F",32774,8
67,"M",33407,8
68,"F",32693,8
69,"M",30532,8
70,"M",35280,8
71,"M",33095,8
72,"F",37202,8
73,"F",31949,8
74,"F",33062,8
75,"F",31983,8
76,"F",24842,8
77,"M",36066,8
78,"M",28623,8
79,"F",29221,8
80,"F",33714,8
81,"M",33096,8
82,"M",37048,8
83,"M",31213,8
84,"F",26322,8
85,"F",34154,8
86,"F",34001,8
87,"F",35260,8
88,"F",38551,8
89,"F",30257,8
90,"F",31958,8
91,"M",37447,8
92,"F",35284,8
93,"F",34583,8
94,"F",28927,8
95,"F",27530,8
96,"M",29681,8
97,"M",32731,8
98,"F",35283,8
99,"F",33065,8
100,"M",38777,8
101,"F",38527,8
102,"F",33228,9
103,"M",34770,9
104,"F",37909,9
105,"F",36364,9
106,"F",35290,9
107,"M",34170,9
108,"M",36271,9
109,"F",34174,9
110,"M",34519,9
111,"F",39937,9
112,"M",43315,9
113,"M",36368,9
114,"M",34341,9
115,"M",38316,9
116,"M",40905,9
117,"M",41814,9
118,"M",35085,9
119,"M",37498,9
120,"F",35233,9
121,"M",34362,9
122,"M",34390,9
123,"M",38471,9
124,"M",41881,9
125,"M",39670,9
126,"M",41871,9
127,"M",37445,9
128,"F",38565,9
129,"M",47215,9
130,"F",41732,9
131,"M",41367,9
132,"F",38560,9
133,"M",36393,9
134,"M",35303,9
135,"M",27523,9
136,"M",37480,9
137,"M",38575,9
138,"M",41867,9
139,"F",38056,9
140,"F",30978,9
141,"F",35241,9
142,"F",36870,9
143,"F",38087,9
144,"M",27550,9
145,"F",45790,9
146,"M",38534,9
147,"F",37457,9
148,"F",35252,9
149,"F",38978,9
150,"F",38934,9
151,"F",44608,9
152,"F",27690,9
153,"M",36327,9
154,"F",40752,9
155,"F",40072,9
156,"M",34509,9
157,"M",38579,9
158,"F",35463,9
159,"M",30884,9
160,"F",38600,9
161,"M",38433,10
162,"F",34930,10
163,"M",44043,10
164,"F",42393,10
165,"F",44658,10
166,"F",45441,10
167,"F",45085,10
168,"F",41229,10
169,"F",38528,10
170,"M",48421,10
171,"F",39666,10
172,"M",42111,10
173,"M",48436,10
174,"M",39042,10
175,"M",38014,10
176,"F",33020,10
177,"M",49436,10
178,"M",48039,10
179,"M",44037,10
180,"M",44027,10
181,"F",52437,10
182,"F",40313,10
183,"F",36349,10
184,"F",31967,10
185,"F",42144,10
186,"F",42971,10
187,"M",34383,10
188,"M",37346,10
189,"M",43534,10
190,"M",37436,10
191,"M",48404,10
192,"F",43377,10
193,"F",40057,10
194,"F",35854,10
195,"F",39952,10
196,"M",37084,10
197,"F",31261,10
198,"M",35304,10
199,"M",35183,10
200,"F",40784,10
201,"M",36108,10
202,"M",55052,10
203,"F",38865,10
204,"F",38074,10
205,"F",35311,10
206,"M",32688,10
207,"F",40236,10
208,"M",42439,10
209,"M",39676,10
210,"M",41630,10
211,"M",43651,10
212,"M",32724,10
213,"F",36071,10
214,"M",37789,10
215,"M",38560,10
216,"F",45179,10
217,"M",36318,10
218,"F",39502,10
219,"F",44797,10
220,"M",53382,10
221,"F",36945,10
222,"M",39353,10
223,"F",32206,10
224,"M",31434,10
225,"F",40330,10
226,"M",31432,10
227,"M",42092,10
228,"M",49633,10
229,"F",31583,10
230,"M",46060,10
231,"F",34102,10
232,"M",33057,10
233,"F",63825,11
234,"M",55626,11
235,"F",41826,11
236,"M",49562,11
237,"M",46248,11
238,"M",48009,11
239,"M",46253,11
240,"F",53279,11
241,"M",47382,11
242,"F",42395,11
243,"M",44114,11
244,"M",48897,11
245,"M",41833,11
246,"F",44059,11
247,"F",47341,11
248,"M",38599,11
249,"F",37438,11
250,"M",43163,11
251,"M",43173,11
252,"M",46291,11
253,"M",47396,11
254,"M",46264,11
255,"M",44098,11
256,"M",44038,11
257,"F",48453,11
258,"M",51722,11
259,"F",50229,11
260,"M",47408,11
261,"M",44090,11
262,"M",50691,11
263,"M",47385,11
264,"M",44111,11
265,"M",48477,11
266,"F",48704,11
267,"F",46269,11
268,"M",47412,11
269,"M",47385,11
270,"M",45125,11
271,"F",44087,11
272,"F",47326,11
273,"M",50665,11
274,"M",49001,11
275,"M",44634,11
276,"F",44117,11
277,"M",46838,11
278,"F",47414,11
279,"M",47336,11
280,"F",49608,11
281,"F",43556,11
282,"F",44119,11
283,"M",44070,11
284,"M",41868,11
285,"F",46404,11
286,"F",38534,11
287,"M",48800,11
288,"F",46296,11
289,"M",51697,11
290,"F",39937,11
291,"M",37508,11
292,"F",43969,11
293,"M",49498,11
294,"F",46835,11
295,"M",43647,11
296,"F",41010,11
297,"M",44928,11
298,"F",46340,11
299,"F",39154,11
300,"F",42443,11
301,"M",48650,11
302,"F",49631,11
303,"M",46832,11
304,"M",49601,11
305,"M",37564,11
306,"M",39494,11
307,"M",50702,11
308,"F",37535,11
309,"M",44188,11
310,"F",49604,11
311,"F",42953,11
312,"M",42424,11
313,"M",45110,11
314,"M",43153,11
315,"F",60609,12
316,"M",57033,12
317,"F",49546,12
318,"M",49626,12
319,"M",77101,12
320,"F",52033,12
321,"M",51186,12
322,"F",48506,12
323,"M",66042,12
324,"M",59512,12
325,"M",62779,12
326,"F",47403,12
327,"F",60083,12
328,"F",61639,12
329,"M",57288,12
330,"M",55080,12
331,"M",64389,12
332,"F",61710,12
333,"M",61095,12
334,"F",52834,12
335,"M",55551,12
336,"M",55072,12
337,"M",55076,12
338,"M",62485,12
339,"M",62732,12
340,"M",55589,12
341,"M",93522,12
342,"F",39890,12
343,"M",58387,12
344,"M",26434,12
345,"F",63766,12
346,"M",33065,12
347,"M",26598,12
348,"M",88049,12
349,"F",55070,12
350,"M",40840,12
351,"F",51850,12
352,"M",68292,12
353,"F",59996,12
354,"M",66570,13
355,"M",64379,13
356,"M",60543,13
357,"M",66101,13
358,"M",66028,13
359,"M",54652,13
360,"F",64949,13
361,"M",84748,13
362,"F",58050,13
363,"M",60431,13
364,"M",71534,13
365,"F",58352,13
366,"M",84610,13
367,"F",58219,13
368,"M",60582,13
369,"F",77048,14
370,"M",148600,14
371,"F",77086,14
372,"F",77084,14
373,"M",82900,14
374,"M",77007,14
375,"M",99034,14
376,"F",71589,14
377,"M",100902,14
378,"F",61683,14
379,"M",88031,14
380,"F",93607,14
381,"M",67250,14
382,"M",62730,14
