"Price","Weight","Amps","Depth","Speed","Power","Ease","Construction"
150,11,15,2.438,5,5,5,5
110,12,15,2.25,5,5,4,5
140,11,15,2.375,5,5,4,5
175,11,15,2.313,5,4,4,5
120,12,15,2.375,5,4,4,5
100,11,15,2.375,5,5,4,5
160,13,15,2.5,5,5,4,5
95,9,10.5,2.5,5,3,4,5
130,11,15,2.438,4,4,4,4
120,12,15,2.375,4,4,4,5
35,10,10,2.5,4,3,3,3
70,13,13,2.438,4,3,3,3
60,13,12,2.438,3,4,3,3
55,12,12,2.5,3,4,3,3
40,12,12,2.438,3,3,3,3
180,13,15,2.438,4,5,4,5
140,16,15,2.375,4,5,3,4
185,16,13,2.375,2,5,3,4
150,16,13,2.375,2,5,3,4
