"Actual.Minus.Target","Less.Than.Target"
905,"no"
1125,"no"
444,"no"
-2156,"YES"
283,"no"
-57,"YES"
-227,"YES"
364,"no"
3417,"no"
2806,"no"
756,"no"
964,"no"
-1792,"YES"
801,"no"
3275,"no"
995,"no"
893,"no"
703,"no"
-29,"YES"
215,"no"
795,"no"
-1460,"YES"
905,"no"
487,"no"
401,"no"
401,"no"
507,"no"
273,"no"
1323,"no"
798,"no"
823,"no"
171,"no"
780,"no"
444,"no"
-4444,"YES"
484,"no"
-314,"YES"
-314,"YES"
655,"no"
370,"no"
180,"no"
360,"no"
-424,"YES"
-32,"YES"
464,"no"
934,"no"
887,"no"
569,"no"
965,"no"
343,"no"
443,"no"
1525,"no"
1422,"no"
840,"no"
887,"no"
1921,"no"
696,"no"
304,"no"
864,"no"
250,"no"
732,"no"
1374,"no"
325,"no"
678,"no"
1794,"no"
1143,"no"
824,"no"
-212,"YES"
715,"no"
750,"no"
